sample_view,strategy,regime,n_regime_days,n_eligible_days,n_executed_days,hedge_coverage_pct,mean_abs_pre_delta,mean_abs_post_delta,pct_reduction_delta,mean_abs_pre_gamma,mean_abs_post_gamma,pct_reduction_gamma,mean_abs_pre_vega,mean_abs_post_vega,pct_reduction_vega,mean_abs_post_theta,total_option_turnover,total_stock_turnover,final_cash_outflow,avg_daily_cashflow
regime,delta,high,14,14,11,78.57142857142857,7078.151942495659,27.087593980452425,99.61730697220803,1010.2198911882122,1010.2198911882122,0.0,1076516.46424944,1076516.46424944,0.0,2651027.4895231193,0.0,99000.0,15185667.935325872,529081.0300138247
regime,delta,low,12,12,12,100.0,5297.936952392899,23.11996679773688,99.56360434249233,3109.071300420021,3109.071300420021,0.0,2675450.6943316506,2675450.6943316506,0.0,2658550.5218560393,0.0,63600.0,925399.0911176126,-814500.2413431803
regime,delta,medium,54,54,50,92.5925925925926,8830.822731140706,19.081172883918118,99.7839253095113,1906.6279363561168,1906.6279363561168,0.0,1401014.3516878393,1401014.3516878393,0.0,2916200.5224285685,0.0,476900.0,21470897.98142476,439274.180151299
regime,delta_gamma,high,14,14,13,92.85714285714286,5050.487844570664,30.053227207497905,99.40494407406989,297.12051536437286,0.057924441116095106,99.9805047318779,724695.1695915833,363085.37869707367,49.89819251842153,39162.32656728575,13014.0,106300.0,-1841388.1605904743,382199.83282336604
regime,delta_gamma,low,12,12,12,100.0,796.4990354023407,23.003470014153965,97.11192744853305,234.9152163237502,0.06195010648821153,99.97362873829219,784289.1203515945,614370.9820653567,21.665242303764717,114413.00711890803,22517.0,101000.0,-3032974.9057534426,-508280.35825461784
regime,delta_gamma,medium,54,54,51,94.44444444444444,4504.942577943305,21.644386973600685,99.51954133489795,504.29566266721156,0.07409923342924374,99.98530639089034,1168716.4171779754,982474.0469742803,15.935633954163377,215167.42485553998,77286.0,739100.0,10315664.52382208,204823.08930664754
regime,delta_gamma_vega,high,14,14,13,92.85714285714286,5053.686062218273,24.203833870080782,99.52106574147868,358.1498688549846,1.922707530283364,99.46315559560853,316442.72368558095,1667.4278695603612,99.47307119274542,62528.69974744144,10199.0,79400.0,1671106.462860597,-563248.4995231831
regime,delta_gamma_vega,low,12,12,12,100.0,1098.6215523826938,20.721758433236648,98.1138401674084,409.066393836853,2.2001117630729397,99.46216267182525,155858.4873323727,2118.612452864492,98.64068201281428,46346.36993441454,16734.0,35900.0,55430.87045145615,184948.96464460812
regime,delta_gamma_vega,medium,54,54,51,94.44444444444444,4476.196453009204,22.147308712043273,99.50522035963917,523.9928982188524,1.7865860608199549,99.65904384069081,316472.110381323,1598.8006493247144,99.49480519866403,194486.14859322718,51224.0,461900.0,14485696.148538567,372543.1888186735
regime,delta_theta,high,14,14,13,92.85714285714286,4892.455794015839,20.238555828657656,99.58633135012866,262.96383718856356,16.313220736932696,93.79640147050524,580681.9060666059,598196.2937560473,-3.016175897072359,168.48917428473314,13869.0,78900.0,-1502232.3058550502,-226887.54992523076
regime,delta_theta,low,12,12,12,100.0,682.5382159532802,20.01048257822322,97.06822532269857,283.31654712389826,149.29568463221793,47.30428344274263,553704.6227054461,463480.4930382243,16.294631824885137,83.26196704636095,21692.0,107300.0,-2640277.0076160617,-309267.88974696887
regime,delta_theta,medium,54,54,51,94.44444444444444,4605.905980984345,22.56737837154698,99.51003388986406,524.5080058205543,137.6448056437411,73.75734896011626,1200125.9298934287,968233.563224528,19.322336172629214,110.91460898729107,79096.0,739600.0,8766780.751198554,289882.9897732045
regime,delta_vega,high,14,14,13,92.85714285714286,5087.665831238724,20.48579040618274,99.59734402600897,310.5607185707891,314.59162545809255,-1.2979448611060067,315223.04621625086,114.91136594352231,99.96354601374398,741963.2350438224,10387.0,37200.0,5370017.824673768,-39391.52641275459
regime,delta_vega,low,12,12,12,100.0,1737.827387056033,17.606136486762807,98.98688807542685,631.1797659488351,756.1722304669221,-19.80298977585083,199408.15736211053,111.1562173965164,99.94425693569062,643151.7385844741,18853.0,124400.0,-1451577.411334688,71057.19021413008
regime,delta_vega,medium,54,54,50,92.5925925925926,6032.877631587497,19.85333881160491,99.67091427965231,897.0275731342766,786.5058276016784,12.320886095666772,336554.49617223477,74.8744696076552,99.977752646166,1231787.5226807501,53337.0,580100.0,15312999.056693824,277419.46641173604
